date,target_type,target,horizon,direction,strength,confidence,source_weight,title,source_url
2025-01-21,stock,600160.SH,mid,bullish,3,0.74,1.0,巨化股份:巨化股份关于担保进展情况的公告,https://data.eastmoney.com/notices/detail/600160/AN202501201642365244.html
2025-01-21,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份董事会九届十三次(通讯方式)会议决议公告,https://data.eastmoney.com/notices/detail/600160/AN202501201642365243.html
2025-01-23,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份2024年1-12月主要经营数据公告,https://data.eastmoney.com/notices/detail/600160/AN202501221642458145.html
2025-01-23,stock,600160.SH,mid,bullish,4,0.82,1.0,巨化股份:巨化股份2024年度业绩预增公告,https://data.eastmoney.com/notices/detail/600160/AN202501221642458142.html
2025-02-19,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:关于增资控股甘肃巨化实施高性能氟氯新材料一体化项目暨关联交易公告,https://data.eastmoney.com/notices/detail/600160/AN202502181643210785.html
2025-02-19,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份关于召开2025年第一次临时股东大会的通知,https://data.eastmoney.com/notices/detail/600160/AN202502181643210786.html
2025-02-19,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份增资控股甘肃巨化暨实施高性能氟氯新材料一体化项目的可行性研究报告,https://data.eastmoney.com/notices/detail/600160/AN202502181643210789.html
2025-02-19,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份董事会九届十四次会议决议公告,https://data.eastmoney.com/notices/detail/600160/AN202502181643210784.html
2025-02-19,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:浙江巨化股份有限公司关于2024年“提质增效、重回报”专项行动方案执行情况的报告,https://data.eastmoney.com/notices/detail/600160/AN202502181643210787.html
2025-02-19,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:甘肃巨化新材料有限公司拟增资扩股涉及的甘肃巨化新材料有限公司股东全部权益价值项目资产评估报告,https://data.eastmoney.com/notices/detail/600160/AN202502181643210788.html
2025-02-19,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:甘肃巨化新材料有限公司清产核资专项审计报告,https://data.eastmoney.com/notices/detail/600160/AN202502181643210790.html
2025-02-27,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份2025年第一次临时股东大会会议资料,https://data.eastmoney.com/notices/detail/600160/AN202502261643524270.html
2025-03-08,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份2025年第一次临时股东大会之法律意见书,https://data.eastmoney.com/notices/detail/600160/AN202503071644151710.html
2025-03-08,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份2025年第一次临时股东大会决议公告,https://data.eastmoney.com/notices/detail/600160/AN202503071644151713.html
2025-03-20,stock,600160.SH,mid,bullish,3,0.74,1.0,巨化股份:巨化股份关于担保进展情况的公告,https://data.eastmoney.com/notices/detail/600160/AN202503191644764961.html
2025-03-27,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份关于副总经理辞职的公告,https://data.eastmoney.com/notices/detail/600160/AN202503261647771962.html
2025-04-08,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份2025年1-3月主要经营数据公告,https://data.eastmoney.com/notices/detail/600160/AN202504081653180570.html
2025-04-08,stock,600160.SH,mid,bullish,4,0.82,1.0,巨化股份:巨化股份2025年一季度业绩预增公告,https://data.eastmoney.com/notices/detail/600160/AN202504081653180573.html
2025-04-08,stock,600160.SH,mid,bullish,4,0.82,1.0,巨化股份:巨化股份关于控股股东首次增持股份情况及增持计划的公告,https://data.eastmoney.com/notices/detail/600160/AN202504081653180571.html
2025-04-17,stock,600160.SH,mid,bullish,4,0.82,1.0,巨化股份:巨化股份关于控股股东增持股份进展公告,https://data.eastmoney.com/notices/detail/600160/AN202504161657407817.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:关于巨化股份非经营性资金占用及其他关联资金往来情况汇总表的专项审计报告,https://data.eastmoney.com/notices/detail/600160/AN202504241661698644.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份2024年年度报告,https://data.eastmoney.com/notices/detail/600160/AN202504241661698651.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份2024年年度报告摘要,https://data.eastmoney.com/notices/detail/600160/AN202504241661698648.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份2024年度会计师事务所履职情况评估报告,https://data.eastmoney.com/notices/detail/600160/AN202504241661698643.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份2024年度内部控制评价报告,https://data.eastmoney.com/notices/detail/600160/AN202504241661698640.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份2024年度利润分配方案公告,https://data.eastmoney.com/notices/detail/600160/AN202504241661698655.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份2024年度可持续发展报告,https://data.eastmoney.com/notices/detail/600160/AN202504241661698656.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份2024年度可持续发展报告(英文),https://data.eastmoney.com/notices/detail/600160/AN202504241661699367.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份2024年度审计报告,https://data.eastmoney.com/notices/detail/600160/AN202504241661699358.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份2025年“提质增效重回报”专项行动方案,https://data.eastmoney.com/notices/detail/600160/AN202504241661699368.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份为子公司担保公告,https://data.eastmoney.com/notices/detail/600160/AN202504241661698647.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份关于公司及子公司开展远期外汇交易业务的公告,https://data.eastmoney.com/notices/detail/600160/AN202504241661698642.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份关于召开2024年年度股东大会的通知,https://data.eastmoney.com/notices/detail/600160/AN202504241661699362.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份关于开展远期外汇交易业务的可行性分析报告,https://data.eastmoney.com/notices/detail/600160/AN202504241661699366.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份关于拟与巨化集团财务有限责任公司续签《金融服务合作协议》暨关联交易公告,https://data.eastmoney.com/notices/detail/600160/AN202504241661698652.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份内部控制审计报告,https://data.eastmoney.com/notices/detail/600160/AN202504241661698654.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份日常关联交易公告,https://data.eastmoney.com/notices/detail/600160/AN202504241661699357.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份涉及财务公司关联交易的存款、贷款等金融业务的专项说明,https://data.eastmoney.com/notices/detail/600160/AN202504241661698650.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份独立董事(刘力)2024年度述职报告,https://data.eastmoney.com/notices/detail/600160/AN202504241661699363.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份独立董事(张子学)2024年度述职报告,https://data.eastmoney.com/notices/detail/600160/AN202504241661699364.html
2025-04-25,stock,600160.SH,mid,neutral,2,0.62,1.0,巨化股份:巨化股份独立董事(王玉涛)2024年度述职报告,https://data.eastmoney.com/notices/detail/600160/AN202504241661699359.html
