date,target_type,target,horizon,direction,strength,confidence,source_weight,title,source_url
2023-01-05,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司关于可转债转股结果暨股份变动的公告,https://data.eastmoney.com/notices/detail/603516/AN202301041581691406.html
2023-01-07,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司关于控股股东、实际控制人权益变动的提示性公告,https://data.eastmoney.com/notices/detail/603516/AN202301061581757502.html
2023-01-07,stock,603516.SH,mid,bullish,3,0.74,1.0,淳中科技:北京淳中科技股份有限公司关于股东完成工商变更登记的公告,https://data.eastmoney.com/notices/detail/603516/AN202301061581757503.html
2023-01-07,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司关于股东解除一致行动关系的公告,https://data.eastmoney.com/notices/detail/603516/AN202301061581757505.html
2023-01-07,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司简式权益变动报告书(何仕达),https://data.eastmoney.com/notices/detail/603516/AN202301061581757506.html
2023-01-13,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司独立董事关于第三届董事会第十四次会议相关事项的独立意见,https://data.eastmoney.com/notices/detail/603516/AN202301121581912670.html
2023-01-13,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司第三届董事会第十四次会议决议公告,https://data.eastmoney.com/notices/detail/603516/AN202301121581912664.html
2023-01-17,stock,603516.SH,mid,bearish,3,0.74,1.0,淳中科技:北京淳中科技股份有限公司股东及董监高集中竞价减持股份进展公告,https://data.eastmoney.com/notices/detail/603516/AN202301161582048473.html
2023-01-18,stock,603516.SH,mid,bearish,4,0.82,1.0,淳中科技:北京淳中科技股份有限公司股东及董监高减持股份结果公告,https://data.eastmoney.com/notices/detail/603516/AN202301171582082411.html
2023-01-30,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司2022年年度业绩预告,https://data.eastmoney.com/notices/detail/603516/AN202301291582480144.html
2023-02-01,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司关于变更职工代表监事的公告,https://data.eastmoney.com/notices/detail/603516/AN202301311582554022.html
2023-02-07,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司关于归还募集资金的公告,https://data.eastmoney.com/notices/detail/603516/AN202302061582801847.html
2023-02-08,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:中山证券有限责任公司关于北京淳中科技股份有限公司首次公开发行股票募投项目结项并将节余募集资金永久补充流动资金的核查意见,https://data.eastmoney.com/notices/detail/603516/AN202302071582850886.html
2023-02-08,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司关于召开2023年第一次临时股东大会的通知,https://data.eastmoney.com/notices/detail/603516/AN202302071582850890.html
2023-02-08,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司关于部分募集资金投资项目结项并将节余募集资金永久补充流动资金的公告,https://data.eastmoney.com/notices/detail/603516/AN202302071582850889.html
2023-02-08,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司独立董事关于第三届董事会第十五次会议相关事项的独立意见,https://data.eastmoney.com/notices/detail/603516/AN202302071582850888.html
2023-02-08,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司第三届监事会第十一次会议决议公告,https://data.eastmoney.com/notices/detail/603516/AN202302071582850887.html
2023-02-08,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司第三届董事会第十五次会议决议公告,https://data.eastmoney.com/notices/detail/603516/AN202302071582850885.html
2023-02-18,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司2023年第一次临时股东大会会议资料,https://data.eastmoney.com/notices/detail/603516/AN202302171583290499.html
2023-02-24,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京国枫律师事务所关于北京淳中科技股份有限公司2023年第一次临时股东大会法律意见书,https://data.eastmoney.com/notices/detail/603516/AN202302231583651449.html
2023-02-24,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京市金杜律师事务所关于北京淳中科技股份有限公司2019年股票期权与限制性股票激励计划之注销部分股票期权的法律意见书,https://data.eastmoney.com/notices/detail/603516/AN202302231583651469.html
2023-02-24,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司2023年第一次临时股东大会决议公告,https://data.eastmoney.com/notices/detail/603516/AN202302231583651450.html
2023-02-24,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司关于注销部分股票期权的公告,https://data.eastmoney.com/notices/detail/603516/AN202302231583651470.html
2023-02-24,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司独立董事关于第三届董事会第十六次会议相关事项的独立意见,https://data.eastmoney.com/notices/detail/603516/AN202302231583651471.html
2023-02-24,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司第三届监事会第十二次会议决议公告,https://data.eastmoney.com/notices/detail/603516/AN202302231583651442.html
2023-02-24,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司第三届董事会第十六次会议决议公告,https://data.eastmoney.com/notices/detail/603516/AN202302231583651451.html
2023-03-04,stock,603516.SH,mid,bullish,3,0.74,1.0,淳中科技:北京淳中科技股份有限公司关于部分股票期权注销完成的公告,https://data.eastmoney.com/notices/detail/603516/AN202303031584011554.html
2023-03-11,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司关于变更持续督导保荐代表人的公告,https://data.eastmoney.com/notices/detail/603516/AN202303101584176312.html
2023-03-22,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:中山证券有限责任公司关于北京淳中科技股份有限公司2022年度募集资金存放与使用的专项核查意见,https://data.eastmoney.com/notices/detail/603516/AN202303211584446533.html
2023-03-22,stock,603516.SH,mid,neutral,2,0.62,1.0,淳中科技:北京淳中科技股份有限公司2022年年度报告,https://data.eastmoney.com/notices/detail/603516/AN202303211584446540.html
